GZÜV-ID;Gemeindename;Quartal;G102;G107;G111;G113;G114;G116;G118;G119;G121;G122;G123;G130;G134;G135;G136;G137;G138;G139;G151;G152;G153;G154;G155;G156;G157;G159;G160;G161;G164;G165;G223;G226;G227;G228;G285;G366;G421;G422;G423;G424;G425;G426;G427;G428;G429;G433;
GZÜV-ID;Gemeindename;Quartal;ENTNAHME-DATUM;LUFTTEMPERATUR IN °C;GERUCH;FAERBUNG;TRUEBUNG;WASSERTEMPERATUR °C;PH-WERT;SAUERSTOFFGEHALT mg/l;REDOXPOTENTIAL mV;GESAMTHAERTE °dH;KARBONATHAERTE °dH;FREIE KOHLENSAEURE mg/l;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;KIESELSAEURE mg/l;FLUORID mg/l;DOC mg/l;TOC mg/l;QUELLSCHÜTTUNG l/s;TRITIUM TE;DEUTERIUM d 0/00;SAUERSTOFF 18 d 0/00;RADON-222 Bq/l;ELEKTR. LEITF. (bei 20°C) µS/cm;CADMIUM µg/l;QUECKSILBER µg/l;ZINK µg/l;KUPFER µg/l;ALUMINIUM µg/l;BLEI µg/l;CHROM-GESAMT (filtriert) µg/l;NICKEL µg/l;ARSEN µg/l;URAN µg/l;
"KK71230032";"Obsteig";"Q2 2009 (A920)";"17.06.2009";"10";"geruchlos";"farblos ";"keine Trübung";"3.5";"8.5";"12";"";"4.8";"4.68";"";"22.4";"7.22";"<1";"<2";"<0,02";"[0,0004]";"[0,0033]";"[0,0034]";"[0,0031]";"1.84";"<1";"1.83";"102";"[0,0059]";"";"";"<0,5";"";"222";"";"";"";"";"150";"[0,04]";"[0,03]";"34";"<1";"<10";"1.53";"[0,17]";"<1";"<1";"";
"KK71230032";"Obsteig";"Q4 2009 (A940)";"28.10.2009";"11";"geruchlos";"farblos ";"keine Trübung";"3.5";"8.3";"11.7";"";"5.14";"4.79";"";"23.1";"8.26";"<1";"[0,083]";"[0,0016]";"[0,001]";"[0,0033]";"<0,006";"<0,006";"1.98";"<1";"3.22";"104";"[0,0052]";"";"";"<0,5";"";"90";"";"";"";"";"155";"";"";"";"";"";"";"";"";"";"";
"KK71230032";"Obsteig";"Q2 2010 (B020)";"19.04.2010";"9";"geruchlos";"farblos ";"keine Trübung";"3.7";"8.21";"10.18";"";"5.46";"5.24";"";"23.3";"9.54";"[0,118]";"<2";"<0,02";"[0,00102]";"[0,00354]";"<0,006";"[0,00095]";"2.02";"<1";"3.07";"114";"<0,009";"";"";"0.519";"";"36";"";"";"";"";"168";"[0,08]";"<0,2";"31.7";"[0,23]";"[2,19]";"1.43";"[0,25]";"[0,26]";"<1";"";
"KK71230032";"Obsteig";"Q4 2010 (B040)";"10.11.2010";"2";"geruchlos";"farblos ";"keine Trübung";"3.6";"8.27";"10.17";"";"5.44";"4.79";"";"24.8";"8.54";"<1";"<2";"<0,02";"[0,0011]";"<0,02";"<0,006";"<0,006";"1.91";"<1";"3.38";"104";"<0,009";"";"";"<0,5";"";"88";"";"";"";"";"154";"";"";"";"";"";"";"";"";"";"";
"KK71230032";"Obsteig";"Q2 2011 (B120)";"19.04.2011";"14";"geruchlos";"farblos ";"keine Trübung";"3.6";"8.35";"10.09";"";"5.08";"5.08";"";"22.7";"8.27";"<1";"<2";"<0,02";"[0,0006]";"[0,0032]";"[0,0017]";"<0,006";"1.96";"<1";"2.69";"110";"<0,009";"";"";"<0,5";"";"59";"";"";"";"";"162";"[0,03]";"<0,2";"32";"[0,12]";"<10";"1.91";"[0,2]";"<1";"<1";"";
"KK71230032";"Obsteig";"Q4 2011 (B140)";"13.12.2011";"3";"geruchlos";"farblos ";"keine Trübung";"3.6";"8.31";"10.19";"";"4.8";"4.99";"";"20.9";"8.15";"<1";"<2";"<0,02";"[0,0006]";"[0,0025]";"<0,006";"<0,006";"1.88";"<1";"3.46";"109";"<0,009";"";"";"<0,5";"";"56";"";"";"";"";"156";"";"";"";"";"";"";"";"";"";"";
"KK71230032";"Obsteig";"Q2 2012 (B220)";"18.06.2012";"25";"geruchlos";"farblos ";"keine Trübung";"3.6";"8.33";"10.74";"";"4.65";"4.82";"";"21.4";"7.2";"<1";"<2";"<0,02";"[0,0004]";"<0,02";"[0,0029]";"<0,007";"1.79";"<1";"1.6";"105";"[0,001]";"";"";"<0,5";"";"230";"";"";"";"";"150";"[0,04]";"[0,03]";"31";"[0,21]";"[1,7]";"1.46";"<1";"<1";"<1";"";
"KK71230032";"Obsteig";"Q4 2012 (B240)";"09.10.2012";"7";"geruchlos";"farblos ";"keine Trübung";"3.6";"8.28";"10.25";"";"4.76";"4.72";"";"21.7";"7.48";"[0,092]";"<2";"<0,02";"[0,0006]";"<0,02";"0.007";"<0,006";"1.78";"<1";"3.02";"103";"<0,009";"";"";"<0,5";"";"124";"";"";"";"";"151";"";"";"";"";"";"";"";"";"";"";
"KK71230032";"Obsteig";"Q2 2013 (B320)";"14.05.2013";"14";"geruchlos";"farblos";"keine Trübung";"3.6";"8.32";"10.87";"";"5.25366";"5.0472";"";"23.94925";"8.24951";"<1";"<2";"[0,0021]";"[0,00041]";"[0,00222]";"<0,006";"<0,006";"1.84897";"<1";"1.81823";"109.8306";"<0,009";"";"";"<0,5";"";"188";"";"";"";"";"157";"<0,2";"[0,0140831]";"33.633043";"<1";"<10";"2.27205";"<1";"<1";"<1";"1.30982";
"KK71230032";"Obsteig";"Q3 2013 (B330)";"10.07.2013";"18";"geruchlos";"farblos";"keine Trübung";"3.6";"8.33";"10.86";"";"5.23095";"4.75278";"";"24.11183";"8.05247";"<1";"<2";"[0,00199]";"[0,00081]";"[0,0042]";"<0,006";"<0,006";"1.58715";"<1";"2.02763";"103.42382";"<0,009";"";"";"<0,5";"";"252";"";"";"";"";"150";"[0,028322]";"[0,0289642]";"33.89542";"[0,17522]";"[1,05863]";"<1";"1.20716";"<1";"<1";"1.31256";
"KK71230032";"Obsteig";"Q4 2013 (B340)";"20.11.2013";"-1";"geruchlos";"farblos";"keine Trübung";"3.7";"8.3";"10.96";"";"5.05533";"4.82288";"";"22.90006";"8.02607";"<1";"<2";"<0,02";"[0,00085]";"[0,00289]";"[0,00199]";"[0,00075]";"1.77608";"<1";"3.04647";"104.94924";"<0,009";"";"";"<0,5";"";"106";"";"";"";"";"154";"<0,2";"<0,2";"36.944582";"[0,0815]";"[1,76978]";"<1";"<1";"[0,21888]";"<1";"1.23308";
"KK71230032";"Obsteig";"Q2 2014 (B420)";"15.04.2014";"-1";"geruchlos";"farblos";"keine Trübung";"3.6";"8.34";"11.1";"";"5.33873";"5.0472";"";"24.36602";"8.36549";"<1";"<2";"<0,02";"[0,00059]";"[0,00221]";"[0,0017]";"<0,01";"1.84515";"<1";"2.59042";"109.8306";"[0,0051]";"";"";"<0,5";"";"72";"";"";"";"";"160";"<0,2";"<0,2";"31.008907";"<1";"[1,5379]";"1.84774";"<1";"<1";"<1";"1.37581";
"KK71230032";"Obsteig";"Q4 2014 (B440)";"24.11.2014";"10";"geruchlos";"farblos";"keine Trübung";"3.6";"8.22";"11.07";"";"5.0033";"4.907";"";"22.35584";"8.13054";"<1";"<2";"[0,00142]";"[0,00131]";"<0,02";"<0,01";"[0,00258]";"1.6475";"<1";"3.2347";"106.77975";"<0,015";"";"";"<0,5";"";"88";"";"";"";"";"157";"";"";"";"";"";"";"";"";"";"";
"KK71230032";"Obsteig";"Q2 2015 (B520)";"28.04.2015";"6";"geruchlos";"farblos";"keine Trübung";"3.7";"8.23";"11.22";"";"5.5055";"5.27152";"";"24.12964";"9.23174";"<1";"<2";"[0,00101]";"[0,00116]";"<0,02";"<0,01";"[0,00089]";"1.80759";"<1";"2.1457";"114.71196";"<0,015";"";"";"0.79063";"";"180";"";"";"";"";"164";"<0,2";"<0,2";"33.149739";"<1";"[2,12294]";"<1";"[0,13512]";"[0,31562]";"<1";"1.16235";
"KK71230032";"Obsteig";"Q4 2015 (B540)";"27.10.2015";"13";"geruchlos";"farblos";"keine Trübung";"3.6";"8.34";"11.26";"";"4.85336";"4.79484";"";"22.31813";"7.50348";"<1";"<2";"[0,00127]";"[0,00125]";"[0,00361]";"[0,00242]";"[0,00053]";"1.97727";"<1";"3.53574";"104.33907";"<0,015";"";"";"0.52532";"";"88";"";"";"";"";"154";"";"";"";"";"";"";"";"";"";"";
"KK71230032";"Obsteig";"Q2 2016 (B620)";"26.04.2016";"6";"geruchlos";"farblos";"keine Trübung";"3.7";"8.37";"11.15";"";"5.30551";"5.20142";"";"24.05283";"8.41144";"<1";"<2";"[0,00084]";"[0,00121]";"<0,02";"<0,01";"[0,00178]";"1.94539";"<1";"2.20256";"113.18654";"<0,015";"";"";"0.59784";"";"110";"";"";"";"";"163";"<0,2";"<0,2";"35.36983";"<1";"<10";"1.61808";"<1";"<1";"<1";"1.28035";
"KK71230032";"Obsteig";"Q2 2017 (B720)";"18.04.2017";"4";"geruchlos";"farblos";"keine Trübung";"3.7";"8.3";"11.22";"";"5.26248";"5.24348";"";"23.63323";"8.47937";"<1";"<2";"[0,00106]";"[0,00096]";"[0,00184]";"<0,01";"[0,00052]";"1.90164";"<1";"2.3049";"114.10179";"<0,015";"";"";"0.56338";"";"88";"";"";"";"";"165";"<0,2";"<0,2";"35.13845";"<1";"<10";"<1";"<1";"[0,26883]";"<1";"1.44451";
"KK71230032";"Obsteig";"Q2 2018 (B820)";"05.06.2018";"11";"geruchlos";"farblos";"keine Trübung";"3.7";"8.15";"11.43";"";"5.4011";"4.96308";"";"25.23704";"8.10768";"<1";"<2";"[0,00104]";"[0,0014]";"[0,0021]";"<0,01";"[0,00104]";"1.68361";"<1";"1.67842";"108.00009";"<0,015";"";"";"<0,5";"";"263";"";"";"";"";"154";"<0,2";"<0,2";"35.70877";"<1";"[1,61793]";"1.39645";"<1";"<1";"<1";"<1";
"KK71230032";"Obsteig";"Q2 2019 (B920)";"12.06.2019";"13";"geruchlos";"farblos";"keine Trübung";"3.8";"8.29";"11.44";"";"5.09519";"4.96308";"";"23.10444";"8.0749";"<1";"<2";"<0,02";"[0,00118]";"[0,00345]";"<0,01";"[0,00187]";"1.86375";"<1";"1.0725";"108.00009";"<0,015";"";"";"<0,5";"";"470";"";"";"";"";"152";"<0,2";"<0,1";"25.4442";"[0,096]";"<10";"1.35777";"<1";"[0,18549]";"<1";"<1";
"KK71230032";"Obsteig";"Q3 2019 (B930)";"03.07.2019";"20";"geruchlos";"farblos";"keine Trübung";"3.7";"8.33";"11.57";"";"4.82847";"4.71072";"";"22.59156";"7.22979";"[0,07059]";"<2";"<0,02";"[0,00074]";"<0,02";"[0,00203]";"[0,00077]";"1.75482";"<1";"1.75765";"102.50856";"<0,015";"";"";"<0,5";"";"229";"";"";"";"";"146";"[0,01958]";"<0,1";"30.08126";"<1";"<10";"1.60892";"<1";"[0,16287]";"<1";"<1";
"KK71230032";"Obsteig";"Q4 2019 (B940)";"21.10.2019";"16";"geruchlos";"farblos";"keine Trübung";"3.7";"8.36";"11.46";"";"5.37596";"4.82288";"";"24.29974";"8.56708";"<1";"<2";"[0,00105]";"[0,00055]";"[0,00162]";"<0,01";"[0,00254]";"1.69443";"<1";"3.1244";"104.94924";"<0,015";"";"";"<0,5";"";"124";"";"";"";"";"153";"[0,02085]";"[0,00479]";"32.82385";"<1";"<10";"1.89554";"<1";"[0,23696]";"<1";"1.12461";
"KK71230032";"Obsteig";"Q2 2020 (C020)";"01.09.2020";"8";"geruchlos";"farblos";"keine Trübung";"3.7";"8.24";"11.47";"";"5.05057";"4.82288";"";"23.12591";"7.86846";"<1";"<2";"[0,00107]";"[0,00077]";"<0,02";"<0,01";"[0,00093]";"1.73099";"<1";"2.97519";"104.94924";"[0,00175]";"";"";"<0,5";"";"148";"";"";"";"";"154";"<0,2";"[0,00329]";"36.17755";"[0,1437]";"<10";"1.75104";"[0,13869]";"[0,23007]";"<1";"1.0174";
"KK71230032";"Obsteig";"Q2 2021 (C120)";"05.05.2021";"8";"geruchlos";"farblos";"keine Trübung";"3.8";"8.27";"11.27";"";"5.50361";"5.27152";"";"24.31211";"9.11291";"[0,07283]";"<2";"<0,02";"[0,00071]";"<0,02";"<0,01";"[0,00122]";"1.8917";"<1";"2.35779";"114.71196";"<0,015";"";"";"0.57774";"";"115";"";"";"";"";"165";"<0,2";"[0,00123]";"34.86954";"<1";"<10";"1.74125";"<1";"<1";"<1";"1.25785";
"KK71230032";"Obsteig";"Q2 2022 (C220)";"18.05.2022";"22";"geruchlos";"farblos";"keine Trübung";"3.7";"8.23";"11.59";"";"5.40817";"5.07524";"";"25.19831";"8.1618";"[0,10072]";"<2";"[0,00103]";"[0,00062]";"[0,00122]";"<0,01";"[0,00258]";"1.73392";"<1";"1.59842";"110.44077";"<0,015";"";"";"<0,5";"";"234";"";"";"";"";"156";"<0,2";"[0,00106]";"36.779";"[0,16965]";"<10";"1.90502";"<1";"[0,21973]";"<1";"<1";
"KK71230032";"Obsteig";"Q2 2023 (C320)";"25.04.2023";"2";"geruchlos";"farblos";"keine Trübung";"3.9";"8.27";"11";"";"5.6691";"5.43976";"";"24.68333";"9.60513";"<1";"<2";"<0,01";"[0,00095]";"[0,00128]";"<0,01";"[0,00154]";"1.59225";"<1";"2.26067";"118.37298";"<0,015";"";"";"1.02827";"";"90";"";"";"";"";"169";"<0,2";"[0,00175]";"29.982";"<1";"<10";"1.85874";"<1";"[0,14232]";"<1";"1.29659";
"KK71230042";"Ehrwald";"Q1 2007 (A710)";"16.01.2007";"-1";"geruchlos";"farblos ";"keine Trübung";"5.5";"7.97";"10.94";"";"5.18";"5.2";"";"27.4";"5.84";"<1";"<2";"<0,02";"[0,0005]";"<0,02";"<0,01";"<0,01";"2.03";"<1";"5.62";"113";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"173";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2007 (A720)";"11.04.2007";"11";"geruchlos";"farblos ";"keine Trübung";"5.4";"7.75";"5.62";"";"5.47";"5.26";"";"28.7";"6.26";"<1";"<2";"<0,02";"[0,0003]";"<0,02";"[0,0011]";"[0,0016]";"2.19";"<1";"5.19";"114";"[0,0044]";"";"";"<0,5";"";"n.a.";"";"";"";"";"177";"[0,05]";"<0,2";"<20";"<1";"<10";"<1";"[0,19]";"[0,15]";"<1";"";
"KK71230042";"Ehrwald";"Q3 2007 (A730)";"10.07.2007";"8";"geruchlos";"farblos ";"keine Trübung";"6.1";"8.09";"7.56";"";"5.52";"5.31";"";"30";"5.72";"<1";"<2";"<0,02";"[0,0004]";"<0,02";"[0,0032]";"[0,0004]";"2.13";"<1";"2.67";"116";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"179";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q4 2007 (A740)";"09.10.2007";"11";"geruchlos";"farblos ";"keine Trübung";"6.4";"8.02";"10.17";"";"5.15";"5.18";"";"27.8";"5.44";"<1";"<2";"<0,02";"[0,0009]";"<0,02";"[0,002]";"[0,0005]";"2.01";"<1";"2.76";"113";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"179";"[0,03]";"[0,01]";"<20";"<1";"<10";"[0,2]";"[0,12]";"<1";"[0,35]";"";
"KK71230042";"Ehrwald";"Q2 2008 (A820)";"15.04.2008";"1";"geruchlos";"farblos ";"keine Trübung";"5.6";"8.12";"9.59";"";"5.75";"5.39";"";"30.1";"6.64";"<1";"<2";"<0,02";"[0,0011]";"<0,02";"[0,0024]";"[0,0004]";"2.46";"<1";"4.28";"117";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"182";"[0,08]";"[0,01]";"<20";"<1";"[2,5]";"<1";"[0,29]";"[0,35]";"<1";"";
"KK71230042";"Ehrwald";"Q4 2008 (A840)";"16.09.2008";"5";"geruchlos";"farblos ";"keine Trübung";"6.5";"8.28";"10.36";"";"5.11";"5.18";"";"27.7";"5.33";"<1";"<2";"<0,02";"[0,0007]";"[0,0024]";"<0,01";"<0,01";"1.97";"<1";"2.85";"113";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"174";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2009 (A920)";"31.03.2009";"4";"geruchlos";"farblos ";"keine Trübung";"6";"8.27";"10.14";"";"5.41";"5.24";"";"28.2";"6.38";"<1";"<2";"<0,02";"[0,0002]";"<0,02";"<0,01";"<0,01";"2.06";"<1";"5.51";"114";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"179";"[0,07]";"[0,03]";"<20";"1.04";"[1,1]";"[0,28]";"[0,26]";"[0,19]";"[0,2]";"";
"KK71230042";"Ehrwald";"Q4 2009 (A940)";"06.10.2009";"17";"geruchlos";"farblos ";"keine Trübung";"6.5";"8.16";"10.26";"";"5.42";"5.13";"";"29.3";"5.72";"<1";"<2";"[0,0008]";"[0,0003]";"[0,0033]";"<0,01";"<0,01";"2";"<1";"3.37";"112";"<0,015";"";"";"0.86";"";"n.a.";"";"";"";"";"174";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2010 (B020)";"12.04.2010";"-1";"geruchlos";"farblos ";"keine Trübung";"5.8";"7.42";"10.21";"";"5.4";"5.27";"";"28.1";"6.36";"<1";"<2";"<0,02";"[0,00082]";"<0,02";"[0,00114]";"<0,006";"2.26";"<1";"4.61";"115";"[0,00197]";"";"";"<0,5";"";"n.a.";"";"";"";"";"183";"[0,07]";"[0,05]";"<20";"[0,15]";"<10";"[0,33]";"[0,25]";"[0,26]";"<1";"";
"KK71230042";"Ehrwald";"Q4 2010 (B040)";"28.09.2010";"6";"geruchlos";"farblos ";"keine Trübung";"6";"7.51";"10.38";"";"5.66";"5.27";"";"30.9";"5.79";"<1";"<2";"<0,02";"[0,0003]";"0.025";"<0,006";"<0,006";"2.14";"<1";"2.76";"115";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"176";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2011 (B120)";"09.06.2011";"11";"geruchlos";"farblos ";"keine Trübung";"5.6";"7.24";"11.59";"";"5.61";"5.3";"";"29.5";"6.42";"<1";"<2";"<0,02";"[0,0004]";"<0,02";"0.01";"0.007";"2.22";"<1";"2.77";"115";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"169";"[0,03]";"[0,07]";"<20";"<1";"<10";"[0,08]";"<1";"<1";"<1";"";
"KK71230042";"Ehrwald";"Q4 2011 (B140)";"09.11.2011";"15";"geruchlos";"farblos ";"keine Trübung";"5.8";"7.81";"11.16";"";"5.23";"5.33";"";"27.8";"5.81";"<1";"<2";"<0,02";"[0,0006]";"<0,02";"[0,0031]";"[0,0007]";"2.37";"<1";"3.52";"116";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"171";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2012 (B220)";"13.06.2012";"10";"geruchlos";"farblos ";"keine Trübung";"5.4";"8.19";"11.57";"";"5.76";"5.64";"";"31.7";"5.73";"<1";"<2";"<0,02";"[0,0004]";"<0,02";"<0,006";"<0,006";"2.49";"<1";"2.04";"123";"<0,009";"";"";"0.86";"";"n.a.";"";"";"";"";"171";"[0,03]";"[0,03]";"<20";"<1";"13.3";"<1";"<1";"[0,11]";"<1";"";
"KK71230042";"Ehrwald";"Q4 2012 (B240)";"04.10.2012";"9";"geruchlos";"farblos ";"keine Trübung";"6.2";"8.05";"10.69";"";"5.83";"5.24";"";"31.9";"5.97";"<1";"<2";"<0,02";"[0,0009]";"<0,02";"<0,006";"<0,006";"1.93";"<1";"2.8";"114";"<0,009";"";"";"<0,5";"";"n.a.";"";"";"";"";"167";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2013 (B320)";"05.06.2013";"8";"geruchlos";"farblos";"keine Trübung";"5.4";"8.09";"12.24";"";"5.86748";"5.63604";"";"32.05733";"5.9933";"<1";"<2";"[0,00229]";"[0,00123]";"<0,02";"<0,006";"<0,006";"2.5335";"<1";"2.04944";"122.64417";"<0,009";"";"";"1.02999";"";"n.a.";"";"";"";"";"176";"<0,2";"[0,0152849]";"<5";"<1";"[1,32526]";"<1";"1.17344";"[0,10961]";"<1";"<1";
"KK71230042";"Ehrwald";"Q3 2013 (B330)";"18.07.2013";"18";"geruchlos";"farblos";"keine Trübung";"5.8";"7.82";"11.03";"";"5.51658";"5.17338";"";"30.07911";"5.67191";"<1";"<2";"[0,00134]";"[0,00132]";"<0,02";"<0,006";"[0,00055]";"1.9277";"<1";"2.44283";"112.57637";"<0,009";"";"";"0.52702";"";"";"";"";"";"";"162";"[0,030877]";"[0,0685394]";"6.365684";"<1";"[0,88226]";"<1";"1.09458";"[0,17568]";"<1";"<1";
"KK71230042";"Ehrwald";"Q4 2013 (B340)";"10.10.2013";"9";"geruchlos";"farblos";"keine Trübung";"6";"8";"10.89";"";"5.45089";"5.1874";"";"29.50515";"5.73522";"<1";"<2";"[0,001]";"[0,00088]";"<0,02";"<0,006";"[0,00074]";"1.97546";"<1";"2.75383";"112.88145";"<0,009";"";"";"<0,5";"";"";"";"";"";"";"164";"[0,03015]";"<0,2";"<5";"<1";"<10";"[0,26621]";"1.02381";"[0,17751]";"<1";"<1";
"KK71230042";"Ehrwald";"Q2 2014 (B420)";"04.06.2014";"11";"geruchlos";"farblos";"keine Trübung";"5.4";"7.69";"11.09";"";"5.58231";"5.27152";"";"30.45432";"5.7293";"<1";"<2";"<0,02";"[0,00202]";"<0,02";"<0,01";"<0,01";"2.20546";"<1";"2.64108";"114.71196";"<0,015";"";"";"0.55137";"";"";"";"";"";"";"169";"[0,024555]";"<0,2";"9.186284";"<1";"<10";"<1";"<1";"<1";"<1";"<1";
"KK71230042";"Ehrwald";"Q4 2014 (B440)";"07.10.2014";"11";"geruchlos";"farblos";"keine Trübung";"6";"7.8";"11.18";"";"5.31541";"5.3276";"";"28.75918";"5.60034";"<1";"<2";"[0,00092]";"[0,00114]";"[0,00349]";"[0,00274]";"<0,01";"1.94669";"<1";"2.8643";"115.9323";"<0,015";"";"";"<0,5";"";"n.a.";"";"";"";"";"169";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2015 (B520)";"08.06.2015";"16";"geruchlos";"farblos";"keine Trübung";"5.5";"7.99";"11.6";"";"5.5592";"5.38368";"";"30.04154";"5.87944";"<1";"<2";"<0,02";"[0,00074]";"<0,02";"[0,00212]";"[0,00146]";"2.38253";"<1";"2.76014";"117.15264";"<0,015";"";"";"0.64301";"";"";"";"";"";"";"163";"[0,030711]";"<0,2";"<5";"<1";"[1,00129]";"[0,09356]";"[0,23475]";"[0,16028]";"<1";"<1";
"KK71230042";"Ehrwald";"Q4 2015 (B540)";"12.10.2015";"5";"geruchlos";"farblos";"keine Trübung";"5.9";"8.31";"10.59";"";"5.24691";"5.24348";"";"28.13219";"5.68363";"<1";"<2";"[0,00164]";"<0,02";"<0,02";"<0,01";"<0,01";"1.98185";"<1";"2.9669";"114.10179";"[0,00412]";"";"";"0.58948";"";"";"";"";"";"";"167";"";"";"";"";"";"";"";"";"";"";
"KK71230042";"Ehrwald";"Q2 2016 (B620)";"02.06.2016";"14";"geruchlos";"farblos";"keine Trübung";"5.2";"8.26";"11.25";"";"5.57498";"5.49584";"";"30.05206";"5.94147";"<1";"<2";"<0,02";"[0,00098]";"[0,00146]";"<0,01";"[0,00218]";"2.23786";"<1";"2.20539";"119.59332";"<0,015";"";"";"0.68752";"";"";"";"";"";"";"175";"[0,026807]";"<0,2";"8.68815";"<1";"<10";"<1";"<1";"<1";"<1";"<1";
"KK71230042";"Ehrwald";"Q2 2017 (B720)";"31.05.2017";"17";"geruchlos";"farblos";"keine Trübung";"5.5";"7.79";"11.3";"";"5.68331";"5.45378";"";"30.71478";"6.00917";"<1";"<2";"[0,00047]";"[0,00082]";"[0,00157]";"<0,01";"[0,0026]";"2.40715";"<1";"2.59644";"118.67807";"<0,015";"";"";"0.52245";"";"";"";"";"";"";"168";"[0,00805]";"<0,2";"9.48814";"<1";"[0,71716]";"[0,13406]";"<1";"<1";"<1";"<1";
"KK71230042";"Ehrwald";"Q2 2018 (B820)";"06.06.2018";"20";"geruchlos";"farblos";"keine Trübung";"5.6";"8.3";"10.82";"";"5.57383";"5.3276";"";"30.57127";"5.62163";"<1";"<2";"<0,02";"[0,0014]";"[0,0021]";"0.02747";"<0,01";"2.19409";"<1";"2.24383";"115.9323";"<0,015";"";"";"0.69696";"";"";"";"";"";"";"168";"[0,018]";"<0,2";"<5";"<1";"[1,61793]";"[0,11516]";"<1";"[0,25873]";"<1";"<1";
"KK71230042";"Ehrwald";"Q2 2019 (B920)";"28.05.2019";"10";"geruchlos";"farblos";"keine Trübung";"5.5";"7.88";"11.4";"";"6.24688";"5.83232";"";"34.39707";"6.21905";"<1";"<2";"[0,001]";"[0,00214]";"[0,00314]";"<0,01";"[0,00053]";"2.6233";"<1";"2.14408";"126.91536";"<0,015";"";"";"0.74439";"";"";"";"";"";"";"176";"[0,01688]";"[0,00165]";"<5";"<1";"[1,58972]";"<1";"<1";"[0,19416]";"<1";"<1";
"KK71230042";"Ehrwald";"Q3 2019 (B930)";"24.07.2019";"18";"geruchlos";"farblos";"keine Trübung";"6";"8.04";"10.76";"";"5.63214";"5.15936";"";"31.11554";"5.54433";"<1";"<2";"[0,002]";"[0,00166]";"<0,02";"[0,00265]";"<0,01";"1.91361";"<1";"2.17074";"112.27128";"<0,015";"";"";"<0,5";"";"";"";"";"";"";"164";"[0,01693]";"[0,00136]";"<5";"<1";"<10";"[0,14592]";"<1";"[0,13915]";"<1";"<1";
"KK71230042";"Ehrwald";"Q4 2019 (B940)";"07.10.2019";"8";"geruchlos";"farblos";"keine Trübung";"6";"8.02";"10.63";"";"5.7782";"5.29956";"";"31.72945";"5.80516";"<1";"<2";"[0,0013]";"[0,00151]";"<0,02";"<0,01";"[0,00155]";"1.9027";"<1";"2.66093";"115.32213";"<0,015";"";"";"0.50003";"";"";"";"";"";"";"";"[0,0117]";"[0,00355]";"<5";"<1";"<10";"[0,12912]";"[0,26241]";"<1";"<1";"<1";
"KK71230042";"Ehrwald";"Q2 2020 (C020)";"18.06.2020";"11";"geruchlos";"farblos";"keine Trübung";"5.4";"8.14";"11.44";"";"5.90945";"5.5379";"";"32.59076";"5.85176";"<1";"<2";"[0,00092]";"[0,00064]";"<0,02";"<0,01";"[0,00269]";"2.05119";"<1";"2.19452";"120.50858";"<0,015";"";"";"0.74143";"";"";"";"";"";"";"196";"<0,2";"[0,00263]";"<5";"<1";"<10";"<1";"<1";"<1";"<1";"<1";
"KK71230042";"Ehrwald";"Q2 2021 (C120)";"09.06.2021";"13";"geruchlos";"farblos";"keine Trübung";"5.4";"8.07";"11.42";"";"5.68176";"5.56594";"";"31.10796";"5.76401";"<1";"<2";"[0,00081]";"[0,0011]";"[0,00128]";"<0,01";"<0,01";"2.26734";"<1";"2.17892";"121.11875";"<0,015";"";"";"0.63636";"";"";"";"";"";"";"178";"<0,2";"[0,00174]";"<5";"<1";"<10";"[0,11688]";"<1";"<1";"[0,17673]";"<1";
