GZÜV-ID;Gemeindename;Quartal;G102;G107;G111;G113;G114;G116;G118;G119;G121;G122;G123;G130;G134;G135;G136;G137;G138;G139;G151;G152;G153;G154;G155;G156;G157;G159;G160;G161;G164;G165;G223;G226;G227;G228;G285;G366;G421;G422;G423;G424;G425;G426;G427;G428;G429;G433;
GZÜV-ID;Gemeindename;Quartal;ENTNAHME-DATUM;LUFTTEMPERATUR IN °C;GERUCH;FAERBUNG;TRUEBUNG;WASSERTEMPERATUR °C;PH-WERT;SAUERSTOFFGEHALT mg/l;REDOXPOTENTIAL mV;GESAMTHAERTE °dH;KARBONATHAERTE °dH;FREIE KOHLENSAEURE mg/l;CALCIUM mg/l;MAGNESIUM mg/l;NATRIUM mg/l;KALIUM mg/l;EISEN mg/l;MANGAN mg/l;BOR mg/l;AMMONIUM mg/l;NITRIT mg/l;NITRAT mg/l;CHLORID mg/l;SULFAT mg/l;HYDROGENK. mg/l;ORTHOPHOSPHAT mg/l;KIESELSAEURE mg/l;FLUORID mg/l;DOC mg/l;TOC mg/l;QUELLSCHÜTTUNG l/s;TRITIUM TE;DEUTERIUM d 0/00;SAUERSTOFF 18 d 0/00;RADON-222 Bq/l;ELEKTR. LEITF. (bei 20°C) µS/cm;CADMIUM µg/l;QUECKSILBER µg/l;ZINK µg/l;KUPFER µg/l;ALUMINIUM µg/l;BLEI µg/l;CHROM-GESAMT (filtriert) µg/l;NICKEL µg/l;ARSEN µg/l;URAN µg/l;
"KK71130012";"Häselgehr";"Q4 1998 (9820)";"11.11.1998";"2";"geruchlos";"farblos ";"keine Trübung";"6.8";"8.2";"";"";"5.84";"5.7";"";"25.6";"9.8";"<1";"[0,172]";"[0,0017]";"[0,0008]";"[0,00213]";"[0,0017]";"[0,0015]";"0.719";"<1";"5.1";"124.3";"[0,001]";"";"";"1.1";"";"992";"13.3";"";"-13.24";"";"172.04301";"[0,04]";"[0,02]";"<20";"<1";"15.7";"[0,14]";"[0,14]";"[0,2]";"[0,16]";"";
"KK71130012";"Häselgehr";"Q1 1999 (9830)";"15.03.1999";"12";"geruchlos";"farblos ";"keine Trübung";"6.7";"8.1";"10.49";"";"8.94";"7.01";"";"39.7";"14.7";"1.32";"<2";"<0,02";"[0,0006]";"<0,02";"[0,0013]";"[0,0005]";"1";"<1";"41.7";"152.7";"[0,004]";"";"";"1.09";"";"390";"";"";"";"";"273.29749";"[0,05]";"[0,03]";"<20";"1.88";"14.1";"[0,11]";"[0,27]";"[0,1]";"[0,21]";"";
"KK71130012";"Häselgehr";"Q2 1999 (9840)";"10.05.1999";"20";"geruchlos";"farblos ";"keine Trübung";"6.5";"8.11";"10.96";"";"4.93";"5.07";"";"20.4";"9";"<1";"<2";"<0,02";"[0,0003]";"<0,02";"<0,01";"<0,01";"1.09";"<1";"2";"110.4";"[0,003]";"";"";"0.68";"";"1558";"";"";"";"";"152.32975";"[0,05]";"[0,01]";"<10";"1.66";"12.3";"[0,22]";"[0,12]";"[0,22]";"[0,27]";"";
"KK71130012";"Häselgehr";"Q3 1999 (9910)";"21.07.1999";"21";"geruchlos";"farblos ";"keine Trübung";"5.7";"8.04";"11.3";"";"3.37";"4.04";"";"14.2";"6.03";"<1";"[0,0377]";"<0,02";"<0,02";"<0,02";"[0,001]";"<0,01";"0.815";"[0,0851]";"2.15";"88.11";"<0,015";"";"";"<0,5";"";"1377";"";"";"";"";"125.44803";"[0,03]";"[0,01]";"<20";"1.5";"<10";"[0,11]";"[0,08]";"[0,08]";"[0,12]";"";
"KK71130012";"Häselgehr";"Q4 1999 (9920)";"06.10.1999";"5.5";"geruchlos";"farblos ";"keine Trübung";"6";"8.08";"10.85";"";"6.65";"6.14";"";"29.3";"11.1";"<1";"<2";"<0,02";"[0,0008]";"<0,02";"<0,01";"[0,0004]";"0.822";"<1";"6.39";"133.8";"<0,015";"";"";"0.72";"";"819";"";"";"";"";"197.13262";"[0,06]";"[0,01]";"[2,4]";"1.66";"<10";"[0,12]";"[0,23]";"<1";"[0,12]";"";
"KK71130012";"Häselgehr";"Q1 2000 (A010)";"24.01.2000";"-10";"geruchlos";"farblos ";"keine Trübung";"6.1";"7.6";"7.55";"";"9.26";"6.96";"";"41";"15.3";"1.78";"<2";"[0,0016]";"[0,0007]";"0.0202";"[0,0027]";"[0,0005]";"0.991";"<1";"62.6";"151.7";"<0,015";"";"";"<0,5";"";"170";"";"";"";"";"320.78853";"<0,2";"0.93";"[1,4]";"[0,11]";"<10";"[0,14]";"[0,08]";"<1";"[0,25]";"";
"KK71130012";"Häselgehr";"Q2 2000 (A020)";"17.04.2000";"12";"geruchlos";"farblos ";"keine Trübung";"6.9";"8.18";"10.4";"";"6.91";"6.79";"";"31.3";"11";"<1";"<2";"[0,002]";"[0,0006]";"<0,02";"[0,0026]";"0.0019";"1.13";"<1";"11.8";"148";"<0,015";"";"";"1.2";"";"416";"";"";"";"";"221.32616";"<0,2";"[0,04]";"[1]";"[0,12]";"<10";"[0,06]";"[0,1]";"[0,11]";"[0,1]";"";
"KK71130012";"Häselgehr";"Q3 2000 (A030)";"11.07.2000";"13";"geruchlos";"farblos ";"keine Trübung";"5.5";"8.12";"10.85";"";"5.43";"5.35";"";"22.5";"9.94";"<1";"<2";"<0,02";"[0,0006]";"<0,02";"[0,0019]";"[0,0019]";"0.93";"<1";"2.68";"116.5";"<0,015";"";"";"0.7";"";"1800";"";"";"";"";"160.39427";"<0,2";"[0,01]";"[1,5]";"[0,14]";"12.5";"[0,24]";"[0,12]";"[0,17]";"[0,25]";"";
"KK71130012";"Häselgehr";"Q4 2000 (A040)";"11.10.2000";"14";"geruchlos";"farblos ";"keine Trübung";"6.4";"8.11";"10.51";"";"6.65";"6.08";"";"28.6";"11.5";"<1";"<2";"[0,0013]";"[0,0008]";"<0,02";"[0,002]";"[0,0003]";"0.868";"[0,15]";"12";"132.6";"[0,003]";"";"";"0.76";"";"";"";"";"";"";"200.71685";"[0,03]";"[0,01]";"[1,5]";"[0,2]";"<10";"[0,21]";"[0,27]";"[0,13]";"[0,18]";"";
"KK71130012";"Häselgehr";"Q1 2001 (A110)";"10.01.2001";"5";"geruchlos";"farblos ";"keine Trübung";"6.4";"8.28";"6.9";"";"10.4";"6.85";"";"46.4";"16.8";"1.77";"<2";"[0,0011]";"[0,0002]";"<0,02";"[0,0025]";"<0,01";"0.945";"<1";"65.6";"149.4";"<0,015";"";"";"<0,5";"";"178";"";"";"";"";"322.58065";"[0,05]";"[0,01]";"[1,3]";"[0,13]";"[0,7]";"[0,15]";"[0,27]";"[0,21]";"<1";"";
"KK71130012";"Häselgehr";"Q2 2001 (A120)";"09.04.2001";"6";"geruchlos";"farblos ";"keine Trübung";"6.5";"8.17";"10.91";"";"7.17";"6.36";"";"32";"11.7";"<1";"<2";"[0,0009]";"[0,0004]";"<0,02";"[0,0018]";"<0,01";"1.05";"<1";"20.3";"138.5";"<0,015";"";"";"1.22";"";"407";"";"";"";"";"222.22222";"<0,2";"[0,01]";"[0,9]";"[0,18]";"<10";"[0,14]";"[0,19]";"[0,22]";"[0,23]";"";
"KK71130012";"Häselgehr";"Q3 2001 (A130)";"11.07.2001";"14";"geruchlos";"farblos ";"keine Trübung";"5.9";"8.29";"11.07";"";"6.18";"4.5";"";"26.5";"10.7";"<1";"<2";"[0,0022]";"[0,002]";"<0,02";"[0,0007]";"[0,0004]";"0.9";"<1";"33.3";"98.1";"<0,015";"";"";"<0,5";"";"882";"";"";"";"";"186.37993";"<0,2";"[0,01]";"[1,5]";"[0,06]";"<10";"[0,1]";"[0,19]";"[0,12]";"[0,18]";"";
"KK71130012";"Häselgehr";"Q4 2001 (A140)";"08.10.2001";"15";"geruchlos";"farblos ";"keine Trübung";"6.3";"8.03";"11.1";"";"6.85";"6.22";"";"29.2";"12";"<1";"<2";"[0,0013]";"[0,0006]";"<0,02";"[0,0023]";"[0,0016]";"0.89";"<1";"22.2";"135";"<0,015";"";"";"<0,5";"";"737";"";"";"";"";"211.46953";"[0,04]";"[0,01]";"[1,7]";"[0,11]";"<10";"[0,19]";"[0,16]";"[0,09]";"[0,32]";"";
"KK71130012";"Häselgehr";"Q1 2002 (A210)";"19.02.2002";"4";"geruchlos";"farblos ";"keine Trübung";"7.5";"7.75";"9.54";"";"9.5";"6.94";"";"43.1";"15.1";"1.31";"<2";"[0,0011]";"[0,0003]";"<0,02";"[0,0031]";"[0,0026]";"1.04";"<1";"47.7";"151";"<0,015";"";"";"[0,199]";"";"208";"";"";"";"";"288.53047";"[0,05]";"[0,03]";"[0,6]";"<1";"<10";"[0,19]";"<1";"<1";"[0,27]";"";
"KK71130012";"Häselgehr";"Q2 2002 (A220)";"21.05.2002";"16";"geruchlos";"farblos ";"keine Trübung";"6.1";"8";"11.61";"";"4.29";"4.47";"";"17.6";"7.96";"<1";"<2";"[0,0011]";"[0,0009]";"<0,02";"[0,0039]";"[0,0003]";"1.05";"<1";"2.1";"97.4";"[0,0047]";"";"";"0.6";"";"1385";"";"";"";"";"134.4086";"[0,06]";"<0,2";"<20";"[0,21]";"<10";"<1";"[0,1]";"<1";"[0,38]";"";
"KK71130012";"Häselgehr";"Q3 2002 (A230)";"19.08.2002";"26";"geruchlos";"farblos ";"keine Trübung";"6.9";"8";"11.1";"";"8.51";"6.63";"";"36.2";"15";"<1";"<2";"<0,02";"[0,0006]";"<0,02";"<0,01";"[0,0006]";"0.76";"<1";"35";"144";"<0,015";"";"";"0.53";"";"908";"";"";"";"";"243.7276";"[0,06]";"[0,02]";"[0,8]";"<1";"<10";"[0,15]";"[0,11]";"1.22";"<1";"";
"KK71130012";"Häselgehr";"Q4 2002 (A240)";"14.10.2002";"8";"geruchlos";"farblos ";"keine Trübung";"6.2";"8.03";"10";"";"6.88";"6.31";"";"29.9";"11.8";"<1";"<2";"<0,02";"[0,0005]";"<0,02";"[0,0018]";"[0,0006]";"0.82";"[0,068]";"12.5";"138";"<0,015";"";"";"<0,5";"";"751";"";"";"";"";"208.78136";"[0,06]";"[0,01]";"[0,7]";"<1";"<10";"[0,15]";"<1";"[0,24]";"[0,36]";"";
"KK71130012";"Häselgehr";"Q1 2003 (A310)";"20.01.2003";"2";"geruchlos";"farblos ";"keine Trübung";"6.4";"7.94";"10.57";"";"11.3";"8.06";"";"51.7";"17.6";"1.98";"<2";"[0,0009]";"[0,0005]";"0.022";"[0,0023]";"[0,0008]";"0.89";"<1";"81.1";"176";"<0,015";"";"";"0.74";"";"253";"";"";"";"";"347.67025";"<0,2";"<0,2";"[1,7]";"<1";"<10";"[0,22]";"[0,22]";"[0,27]";"[0,29]";"";
"KK71130012";"Häselgehr";"Q2 2003 (A320)";"15.04.2003";"15";"geruchlos";"farblos ";"keine Trübung";"7.1";"8.05";"9.86";"";"10.4";"6.69";"";"47.6";"16.2";"1.31";"<2";"<0,02";"[0,0004]";"<0,02";"[0,0021]";"[0,0024]";"0.9";"<1";"67.6";"146";"[0,0048]";"";"";"0.95";"";"512";"";"";"";"";"313.62007";"[0,02]";"[0,01]";"<20";"<1";"[1,3]";"<1";"[0,22]";"[0,14]";"<1";"";
"KK71130012";"Häselgehr";"Q3 2003 (A330)";"16.07.2003";"31.5";"geruchlos";"farblos ";"keine Trübung";"7.3";"7.71";"10.9";"";"10.6";"6.03";"";"47.7";"17.2";"1.32";"<2";"[0,0004]";"[0,0003]";"<0,02";"<0,01";"[0,0012]";"0.85";"<1";"82.6";"131";"<0,015";"";"";"<0,5";"";"463";"";"";"";"";"324.37276";"[0,03]";"[0,01]";"[2,2]";"12.78";"<10";"<1";"[0,14]";"[0,28]";"[0,25]";"";
"KK71130012";"Häselgehr";"Q4 2003 (A340)";"20.10.2003";"10.5";"geruchlos";"farblos ";"keine Trübung";"6.4";"8.19";"10.85";"";"6.21";"6.12";"";"27.1";"10.5";"<1";"<2";"[0,001]";"[0,0004]";"<0,02";"[0,0014]";"<0,01";"1.02";"<1";"5.98";"133";"[0,0022]";"";"";"0.92";"";"794";"";"";"";"";"183.69176";"[0,06]";"[0,02]";"[1]";"[0,17]";"<10";"[0,15]";"[0,16]";"[0,38]";"[0,33]";"";
"KK71130012";"Häselgehr";"Q1 2004 (A410)";"19.01.2004";"-2";"geruchlos";"farblos ";"keine Trübung";"4.9";"8.26";"10.24";"";"8.82";"6.81";"";"39.8";"14.1";"1.35";"<2";"[0,0014]";"[0,0005]";"<0,02";"[0,0029]";"<0,01";"0.97";"<1";"39.6";"148.3";"<0,015";"";"";"1.02";"";"221";"";"";"";"";"262.5448";"[0,05]";"[0,01]";"2.9";"<1";"[2,2]";"<1";"<1";"<1";"<1";"";
"KK71130012";"Häselgehr";"Q2 2004 (A420)";"28.04.2004";"20";"geruchlos";"farblos ";"keine Trübung";"6.7";"8.23";"10.05";"";"5.73";"6";"";"24.7";"9.84";"<1";"<2";"<0,01";"[0,0006]";"[0,00416]";"[0,002]";"[0,0006]";"1.11";"<1";"3.52";"130.8";"<0,015";"";"";"0.97";"";"750";"";"";"";"";"183";"[0,04]";"[0,01]";"3.1";"<1";"<10";"<1";"[0,4]";"<1";"[0,23]";"";
"KK71130012";"Häselgehr";"Q3 2004 (A430)";"28.07.2004";"19";"geruchlos";"farblos ";"keine Trübung";"5.8";"8.26";"11.04";"";"4.82";"4.86";"";"18.7";"9.56";"<1";"[0,0955]";"<0,01";"[0,001]";"<0,02";"[0,0029]";"<0,01";"0.923";"<1";"4.87";"105.9";"[0,004]";"";"";"<0,5";"";"";"";"";"";"";"156";"[0,05]";"[0,01]";"1.4";"<1";"<10";"<1";"[0,26]";"<1";"[0,26]";"";
"KK71130012";"Häselgehr";"Q4 2004 (A440)";"08.11.2004";"2";"geruchlos";"farblos ";"keine Trübung";"7.5";"8.12";"8.77";"";"11.8";"6.5";"";"54.5";"18.1";"1.82";"<2";"[0,0016]";"[0,0005]";"0.0208";"<0,01";"[0,0006]";"0.791";"<1";"111";"141.5";"[0,004]";"";"";"<0,5";"";"403";"";"";"";"";"390";"[0,07]";"[0,01]";"1.5";"<1";"<10";"[0,24]";"[0,22]";"[0,24]";"<1";"";
"KK71130012";"Häselgehr";"Q1 2005 (A510)";"19.01.2005";"0";"geruchlos";"farblos ";"keine Trübung";"6.9";"8.24";"10.19";"";"9.18";"6.98";"";"40.2";"15.4";"1.63";"<2";"<0,01";"[0,0003]";"0.0206";"[0,0019]";"[0,0015]";"0.94";"<1";"48.9";"151.9";"<0,015";"";"";"<0,5";"";"160";"";"";"";"";"299";"[0,07]";"<0,2";"2.6";"[0,15]";"<10";"<1";"<1";"[0,36]";"<1";"";
"KK71130012";"Häselgehr";"Q2 2005 (A520)";"12.04.2005";"12";"geruchlos";"farblos ";"keine Trübung";"6.7";"8.15";"10.4";"";"5.93";"6.05";"";"26";"9.9";"<1";"<2";"[0,0016]";"[0,0003]";"<0,02";"[0,0031]";"[0,0003]";"1.16";"<1";"5.7";"131.7";"[0,003]";"";"";"1.15";"";"550";"";"";"";"";"194";"[0,04]";"[0,01]";"1.2";"<1";"<10";"[0,3]";"[0,27]";"[0,15]";"[0,34]";"";
"KK71130012";"Häselgehr";"Q3 2005 (A530)";"13.07.2005";"19";"geruchlos";"farblos ";"keine Trübung";"5.8";"7.92";"10.2";"";"5.5";"5.41";"";"22.8";"10";"<1";"[0,134]";"<0,01";"[0,001]";"<0,02";"<0,01";"<0,01";"0.69";"[0,126]";"3.57";"117.8";"<0,015";"";"";"0.83";"";"1503";"";"";"";"";"171";"[0,04]";"[0,01]";"<1";"<1";"<10";"<1";"[0,23]";"[0,4]";"[0,3]";"";
"KK71130012";"Häselgehr";"Q4 2005 (A540)";"11.10.2005";"14";"geruchlos";"farblos ";"keine Trübung";"6.7";"7.98";"10.9";"";"6.55";"5.98";"";"28.1";"11.3";"<1";"<2";"0.0718";"<0,005";"<0,02";"<0,01";"[0,0006]";"0.977";"<1";"13.7";"130";"<0,015";"";"";"<0,5";"";"650";"";"";"";"";"208";"[0,03]";"[0,02]";"<1";"<1";"<10";"<1";"[0,16]";"<1";"<1";"";
"KK71130012";"Häselgehr";"Q1 2006 (A610)";"24.01.2006";"-4";"geruchlos";"farblos ";"keine Trübung";"7";"7.83";"7";"";"10.3";"6.77";"";"45.4";"17.3";"2.2";"<2";"<0,01";"[0,0005]";"0.0267";"[0,0014]";"[0,0005]";"0.835";"<1";"66.4";"147.4";"<0,015";"";"";"<0,5";"";"163";"";"";"";"";"330";"[0,06]";"[0,07]";"3.6";"<1";"[1,1]";"<1";"[0,21]";"<1";"<1";"";
"KK71130012";"Häselgehr";"Q2 2006 (A620)";"03.04.2006";"2";"geruchlos";"farblos ";"keine Trübung";"6.4";"7.88";"10.6";"";"6.69";"6.16";"";"30";"10.8";"1.34";"<2";"0.0105";"[0,0004]";"<0,02";"[0,0017]";"<0,01";"1.25";"1.34";"9.1";"134";"[0,003]";"";"";"1.1";"";"445";"";"";"";"";"207";"[0,08]";"[0,01]";"1.5";"[0,06]";"<10";"[0,13]";"[0,23]";"[0,09]";"<1";"";
"KK71130012";"Häselgehr";"Q3 2006 (A630)";"25.07.2006";"24";"geruchlos";"farblos ";"keine Trübung";"6.7";"7.76";"8.8";"";"7.65";"5.33";"";"33.3";"13";"<1";"<2";"<0,01";"[0,0004]";"<0,02";"0.0133";"<0,01";"0.908";"<1";"45.5";"116";"<0,015";"";"";"<0,5";"";"685";"";"";"";"";"252";"<0,2";"[0,04]";"1.9";"<1";"[2,4]";"<1";"[0,26]";"<1";"[0,25]";"";
"KK71130012";"Häselgehr";"Q4 2006 (A640)";"18.10.2006";"13";"geruchlos";"farblos ";"keine Trübung";"7.2";"7.8";"8.8";"";"11";"6.17";"";"50.4";"17.3";"1.42";"<2";"<0,01";"[0,0006]";"<0,02";"<0,01";"[0,0003]";"0.713";"<1";"92.1";"134.3";"<0,015";"";"";"<0,5";"";"490";"";"";"";"";"358";"<0,2";"[0,06]";"3.4";"<1";"[1,5]";"<1";"<1";"[0,12]";"<1";"";
"KK71130012";"Häselgehr";"Q1 2007 (A710)";"24.01.2007";"-1";"geruchlos";"farblos ";"keine Trübung";"6.3";"8.29";"9.9";"";"5.83";"5.74";"";"25.3";"9.93";"<1";"<2";"<0,02";"[0,0006]";"<0,02";"0.011";"[0,0018]";"0.88";"<1";"8.57";"125";"[0,0051]";"";"";"0.98";"";"542";"";"";"";"";"194";"";"";"";"";"";"";"";"";"";"";
"KK71130012";"Häselgehr";"Q2 2007 (A720)";"11.04.2007";"17";"geruchlos";"farblos ";"keine Trübung";"6.7";"8.07";"9.7";"";"6.36";"6.12";"";"27.3";"11";"<1";"<2";"<0,02";"[0,0003]";"<0,02";"[0,0011]";"[0,0016]";"0.92";"<1";"6.15";"133";"[0,0044]";"";"";"1.32";"";"780";"";"";"";"";"196";"[0,05]";"<0,2";"<20";"<1";"<10";"<1";"[0,19]";"<1";"<1";"";
